epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.6492,0.99253,4.0042,1.04533,0.6993,0.70588,0.7761,0.49597,0.94889,8.02497,0.9332,0.0002,0.0002,0.0002
2,161.787,1.0349,1.66527,1.03723,0.75503,0.58824,0.75414,0.4505,1.22289,3.78564,1.02991,0.000419954,0.000419954,0.000419954
3,239.373,1.05856,1.39179,1.06057,0.72995,0.88235,0.83649,0.52739,1.66856,3.88131,1.45532,0.000639722,0.000639722,0.000639722
4,316.633,1.09961,1.16693,1.13136,0.59833,0.61765,0.69345,0.40604,1.70731,4.83278,1.31795,0.00085916,0.00085916,0.00085916
5,392.319,1.09512,0.9817,1.13981,0.54888,0.44118,0.54127,0.32025,1.83084,3.44393,1.60207,0.00107813,0.00107813,0.00107813
6,468.63,1.19424,1.01262,1.25309,0.51535,0.64706,0.55578,0.30765,1.56608,7.54461,1.65783,0.00129647,0.00129647,0.00129647
7,545.02,1.10557,0.97439,1.17515,0.57694,0.61765,0.58351,0.30347,1.73381,5.71895,1.73638,0.00151407,0.00151407,0.00151407
8,621.446,1.23884,1.09778,1.21468,0.43883,0.64405,0.47916,0.22904,2.20248,7.33491,2.33235,0.00173076,0.00173076,0.00173076
9,697.477,1.22614,1.0944,1.19771,0.12771,0.32353,0.0943,0.04469,2.16037,3.98311,2.15135,0.00194641,0.00194641,0.00194641
10,773.842,1.24492,1.11497,1.21394,0,0,0,0,2.68089,11116.3,90.398,0.00198246,0.00198246,0.00198246
11,849.824,1.27789,1.0785,1.23708,0.00167,0.14706,0.00028,8e-05,4.60576,51.8921,28.9368,0.00197837,0.00197837,0.00197837
12,925.823,1.1959,0.99915,1.17652,0.52504,0.38235,0.38382,0.17152,2.86267,2.81077,11.5629,0.00197384,0.00197384,0.00197384
13,1002.04,1.17755,0.89103,1.21562,0.41475,0.38235,0.34648,0.14211,3.23689,3.43104,10.5918,0.0019689,0.0019689,0.0019689
14,1078.08,1.26433,0.90426,1.1868,0.38413,0.29412,0.2211,0.07844,2.96882,3.7469,3.79475,0.00196353,0.00196353,0.00196353
15,1154.12,1.24365,0.85489,1.19067,0.66956,0.44118,0.498,0.25773,2.655,2.16496,10.8357,0.00195775,0.00195775,0.00195775
16,1230.82,1.19092,0.87296,1.18381,0.9093,0.58824,0.79952,0.45612,2.07755,1.7366,1.7935,0.00195155,0.00195155,0.00195155
17,1306.91,1.10929,0.75441,1.15324,0.83746,0.75787,0.86145,0.56133,1.9914,1.90904,1.76853,0.00194493,0.00194493,0.00194493
18,1382.82,1.1685,0.80557,1.17952,0.82655,0.82353,0.8912,0.53648,1.63373,1.7113,1.62558,0.00193791,0.00193791,0.00193791
19,1459.36,1.23291,0.86983,1.19522,0.66376,0.46469,0.40851,0.24978,2.20123,2.44647,2.01372,0.00193048,0.00193048,0.00193048
20,1535.68,1.26228,0.88337,1.20399,0.76065,0.20588,0.20186,0.11466,2.50675,3.77178,2.54002,0.00192264,0.00192264,0.00192264
21,1611.44,1.16994,0.93249,1.20595,0.9477,0.08824,0.085,0.06325,3.64184,4.66786,19.2301,0.00191441,0.00191441,0.00191441
22,1688.4,1.16432,0.77718,1.15772,0.6107,0.08824,0.07869,0.05119,1.40947,2.75166,2.74967,0.00190578,0.00190578,0.00190578
23,1765.53,1.07804,0.79859,1.12591,0.00593,0.17647,0.00148,0.00079,4.1945,18.4125,22.389,0.00189675,0.00189675,0.00189675
24,1841.94,1.12874,0.83393,1.1659,0.68756,0.61765,0.61629,0.37281,3.09131,1.68536,3.15202,0.00188734,0.00188734,0.00188734
25,1918.54,1.19755,0.88671,1.14136,0.77732,0.61765,0.70403,0.32055,2.4518,2.70536,2.31478,0.00187754,0.00187754,0.00187754
26,1994.74,1.11956,0.85142,1.15755,0.75319,0.73529,0.70967,0.3857,2.76771,2.01293,2.64498,0.00186737,0.00186737,0.00186737
27,2070.88,1.12245,0.78073,1.1948,0.7496,0.79245,0.8293,0.50886,2.16639,2.29937,2.03373,0.00185681,0.00185681,0.00185681
28,2147.33,1.08153,0.77963,1.18285,0.72547,0.76471,0.81679,0.38699,2.19614,3.74817,1.84883,0.00184588,0.00184588,0.00184588
29,2224.18,1.14816,0.73638,1.17345,0.82094,0.76471,0.83008,0.46098,2.28478,3.41029,2.11436,0.00183459,0.00183459,0.00183459
30,2300.24,1.11711,0.73612,1.18112,0.61125,0.88235,0.77133,0.41051,2.48182,3.01507,2.49613,0.00182294,0.00182294,0.00182294
31,2376.89,1.17938,0.76091,1.19317,0.73169,0.88226,0.85679,0.48788,2.35735,1.84882,2.33582,0.00181093,0.00181093,0.00181093
32,2453.1,1.13559,0.76069,1.14658,0.75082,0.91176,0.87353,0.52785,1.83559,1.49624,1.78149,0.00179856,0.00179856,0.00179856
33,2529.52,1.10171,0.7143,1.13497,0.85125,0.84181,0.89185,0.54261,1.85052,1.61904,2.01048,0.00178586,0.00178586,0.00178586
34,2605.96,1.04175,0.70865,1.12156,0.64931,0.81696,0.73414,0.39806,1.84407,2.74487,1.90874,0.00177281,0.00177281,0.00177281
