epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,597.993,0.51691,0.67819,0.90524,0.99876,1,0.995,0.91631,0.41517,0.6267,0.78561,0.000581,0.000581,0.000581
45,611.672,0.49033,0.67016,0.88494,0.99887,1,0.995,0.91301,0.4051,0.59351,0.78318,0.000548,0.000548,0.000548
46,625.337,0.46071,0.66251,0.86374,0.99898,1,0.995,0.92073,0.39492,0.57591,0.78234,0.000515,0.000515,0.000515
47,638.569,0.45166,0.61764,0.84787,0.999,1,0.995,0.93831,0.37797,0.57466,0.78193,0.000482,0.000482,0.000482
48,651.988,0.49533,0.62772,0.89332,0.999,1,0.995,0.93718,0.36578,0.56321,0.78285,0.000449,0.000449,0.000449
49,665.355,0.50925,0.64209,0.90447,0.99897,1,0.995,0.93596,0.36356,0.55425,0.78192,0.000416,0.000416,0.000416
50,678.887,0.48877,0.64623,0.89288,0.99895,1,0.995,0.93439,0.36076,0.54707,0.78135,0.000383,0.000383,0.000383
51,692.147,0.3934,0.84026,0.80932,0.99884,1,0.995,0.93635,0.35598,0.55848,0.78071,0.00035,0.00035,0.00035
52,705.364,0.39361,0.78448,0.80808,0.99884,1,0.995,0.93849,0.35142,0.59379,0.78062,0.000317,0.000317,0.000317
53,719.087,0.40788,0.81467,0.81204,0.99881,1,0.995,0.93153,0.34968,0.62495,0.78052,0.000284,0.000284,0.000284
54,732.476,0.35679,0.832,0.8184,0.99887,1,0.995,0.93841,0.35076,0.62535,0.78219,0.000251,0.000251,0.000251
55,745.877,0.37748,0.85894,0.81483,0.99896,1,0.995,0.9372,0.35148,0.60105,0.78457,0.000218,0.000218,0.000218
56,759.388,0.36543,0.79867,0.7914,0.99899,1,0.995,0.93003,0.34896,0.57129,0.78565,0.000185,0.000185,0.000185
57,772.21,0.36986,0.76688,0.82191,0.99898,1,0.995,0.92691,0.33946,0.55089,0.78581,0.000152,0.000152,0.000152
58,785.838,0.3601,0.75927,0.83422,0.99897,1,0.995,0.93413,0.33002,0.53399,0.78479,0.000119,0.000119,0.000119
59,799.036,0.37385,0.76246,0.79485,0.99898,1,0.995,0.94154,0.32318,0.52585,0.78389,8.6e-05,8.6e-05,8.6e-05
60,812.254,0.37558,0.72054,0.79791,0.99899,1,0.995,0.94413,0.31768,0.52214,0.78311,5.3e-05,5.3e-05,5.3e-05
